gold_diff,win_probability,checkpoint
1833.6492404006676,0.8051656145865036,10 min
1848.4966026711181,0.8069618792734303,10 min
1863.3439649415686,0.8087455217094774,10 min
1878.19132721202,0.8105165579548073,10 min
1893.0386894824705,0.8122750054949988,10 min
1907.886051752921,0.8140208832172402,10 min
1922.7334140233716,0.8157542113864604,10 min
1937.580776293823,0.817475011621409,10 min
1952.4281385642735,0.8191833068706983,10 min
1967.275500834724,0.8208791213888204,10 min
1982.1228631051754,0.8225624807121462,10 min
1996.970225375626,0.8242334116349234,10 min
2011.8175876460764,0.8258919421852793,10 min
2026.664949916527,0.827538101601242,10 min
2041.5123121869783,0.82917192030679,10 min
2056.359674457429,0.8307934298879379,10 min
2071.2070367278793,0.8324026630688731,10 min
2086.05439899833,0.8339996536881478,10 min
2100.9017612687812,0.8355844366749385,10 min
2115.7491235392317,0.8371570480253818,10 min
2130.5964858096822,0.8387175247789957,10 min
2145.4438480801336,0.8402659049951934,10 min
2160.291210350584,0.8418022277298998,10 min
2175.1385726210347,0.8433265330122774,10 min
2189.985934891485,0.8448388618215708,10 min
2204.8332971619366,0.8463392560640762,10 min
2219.680659432387,0.8478277585502427,10 min
2234.5280217028376,0.8493044129719158,10 min
2249.375383973288,0.8507692638797251,10 min
2264.2227462437395,0.852222356660626,10 min
2279.07010851419,0.8536637375156015,10 min
2293.9174707846405,0.8550934534375296,10 min
2308.764833055092,0.8565115521892205,10 min
2323.6121953255424,0.8579180822816332,10 min
2338.459557595993,0.859313092952273,10 min
2353.3069198664434,0.8606966341437767,10 min
2368.154282136895,0.8620687564826911,10 min
2383.0016444073453,0.8634295112584468,10 min
2397.849006677796,0.8647789504025354,10 min
2412.6963689482463,0.8661171264678922,10 min
2427.5437312186978,0.8674440926084871,10 min
2442.3910934891483,0.8687599025591302,10 min
2457.2384557595988,0.8700646106154952,10 min
2472.08581803005,0.8713582716143619,10 min
2486.9331803005007,0.8726409409140821,10 min
2501.780542570951,0.8739126743752741,10 min
2516.6279048414017,0.8751735283417443,10 min
2531.475267111853,0.8764235596216419,10 min
2546.3226293823036,0.8776628254688471,10 min
2561.169991652754,0.8788913835645966,10 min
2576.0173539232046,0.880109291999347,10 min
2590.864716193656,0.8813166092548779,10 min
2605.7120784641065,0.8825133941866378,10 min
2620.559440734557,0.8836997060063336,10 min
2635.4068030050075,0.8848756042647636,10 min
2650.254165275459,0.886041148834897,10 min
2665.1015275459094,0.8871963998951997,10 min
2679.94888981636,0.8883414179132094,10 min
2694.7962520868114,0.8894762636293567,10 min
2709.643614357262,0.8906009980410364,10 min
2724.4909766277124,0.8917156823869281,10 min
2739.338338898163,0.8928203781315657,10 min
2754.1857011686143,0.8939151469501566,10 min
2769.033063439065,0.8950000507136516,10 min
2783.8804257095153,0.8960751514740624,10 min
2798.727787979966,0.8971405114500295,10 min
2813.575150250417,0.8981961930126394,10 min
2828.4225125208677,0.8992422586714885,10 min
2843.269874791318,0.9002787710609961,10 min
2858.1172370617696,0.9013057929269637,10 min
2872.96459933222,0.9023233871133812,10 min
2887.8119616026706,0.9033316165494774,10 min
2902.659323873121,0.9043305442370151,10 min
2917.5066861435726,0.9053202332378298,10 min
2932.354048414023,0.9063007466616103,10 min
2947.2014106844736,0.9072721476539181,10 min
2962.048772954924,0.9082344993844496,10 min
2976.8961352253755,0.9091878650355323,10 min
2991.743497495826,0.9101323077908601,10 min
3006.5908597662765,0.9110678908244618,10 min
3021.438222036728,0.9119946772899039,10 min
3036.2855843071784,0.9129127303097226,10 min
3051.132946577629,0.9138221129650875,10 min
3065.9803088480794,0.9147228882856921,10 min
3080.827671118531,0.9156151192398692,10 min
3095.6750333889813,0.9164988687249318,10 min
3110.522395659432,0.9173741995577342,10 min
3125.3697579298823,0.9182411744654537,10 min
3140.2171202003337,0.9190998560765891,10 min
3155.0644824707842,0.919950306912175,10 min
3169.9118447412347,0.9207925893772104,10 min
3184.759207011686,0.9216267657522961,10 min
3199.6065692821367,0.9224528981854817,10 min
3214.453931552587,0.9232710486843207,10 min
3229.3012938230377,0.924081279108127,10 min
3244.148656093489,0.9248836511604344,10 min
3258.9960183639396,0.9256782263816559,10 min
3273.84338063439,0.9264650661419387,10 min
3288.6907429048406,0.9272442316342151,10 min
3303.538105175292,0.9280157838674441,10 min
3318.3854674457425,0.9287797836600429,10 min
3333.232829716193,0.9295362916335065,10 min
3348.0801919866444,0.9302853682062106,10 min
3362.927554257095,0.9310270735873968,10 min
3377.7749165275454,0.9317614677713378,10 min
3392.622278797996,0.9324886105316801,10 min
3407.4696410684473,0.9332085614159593,10 min
3422.317003338898,0.9339213797402892,10 min
3437.1643656093484,0.9346271245842199,10 min
3452.011727879799,0.9353258547857617,10 min
3466.8590901502503,0.9360176289365754,10 min
3481.7064524207008,0.9367025053773214,10 min
3496.5538146911513,0.9373805421931711,10 min
3511.4011769616027,0.9380517972094737,10 min
3526.248539232053,0.9387163279875759,10 min
3541.0959015025037,0.9393741918207958,10 min
3555.943263772954,0.9400254457305437,10 min
3570.7906260434056,0.9406701464625906,10 min
