league,teamname,condition,n,wins,expected_wins,win_rate,adjusted_pp,low,high,source_games,eligible_games,coverage_pct
LEC,Karmine Corp,Ahead,44,36,36.02519911855066,0.8181818181818182,-0.03405286290629165,-7.3384260125309515,7.18885534420518,101,101,100.0
LEC,Karmine Corp,Behind,23,11,5.91143011508313,0.4782608695652174,9.601075254560133,2.8877431415614594,16.169488307863563,101,101,100.0
LEC,Movistar KOI,Ahead,35,22,26.36805959510521,0.6285714285714286,-6.720091684777246,-13.908183723085056,-0.2875748713422624,83,82,98.79518072289157
LEC,Movistar KOI,Behind,20,7,5.54280749760402,0.35,2.9143850047919573,-4.8696230007049115,10.169073753889176,83,82,98.79518072289157
LEC,Natus Vincere,Ahead,27,18,19.639358328145587,0.6666666666666666,-2.876067242360686,-10.625362056562869,4.512097305554148,71,71,100.0
LEC,Natus Vincere,Behind,20,5,4.161374821101213,0.25,1.6772503577975728,-4.79429394813563,7.884249995939746,71,71,100.0
LEC,SK Gaming,Ahead,10,6,6.518101888741793,0.6,-1.2952547218544797,-8.989438653478379,6.119730235889112,52,51,98.07692307692308
LEC,SK Gaming,Behind,24,5,5.394963716154512,0.20833333333333334,-0.731414289175023,-7.856415606070429,8.973227526871058,52,51,98.07692307692308
LEC,Shifters,Ahead,17,8,11.531723127269373,0.47058823529411764,-7.5143045261050485,-16.13374609234519,0.41892303628552,54,54,100.0
LEC,Shifters,Behind,26,3,5.195678914429242,0.11538461538461539,-3.9208552043379323,-9.491957387122227,1.7941045114519538,54,54,100.0
LEC,Team Heretics,Ahead,9,4,5.832608262339774,0.4444444444444444,-4.698995544460961,-12.713568613141506,3.7458656050513746,55,55,100.0
LEC,Team Heretics,Behind,25,1,3.9974048444932766,0.04,-5.449826989987775,-8.272801692394303,-2.575172282194041,55,55,100.0
LEC,Team Vitality,Ahead,29,23,23.30736442210295,0.7931034482758621,-0.5209566476321117,-9.736807265125226,7.290795357484688,77,76,98.7012987012987
LEC,Team Vitality,Behind,25,7,5.817478794229874,0.28,2.150038555945684,-4.206319674255319,8.709319256136379,77,76,98.7012987012987
LPL,Anyone's Legend,Ahead,44,37,34.414065314905116,0.8409090909090909,3.4945063312093096,-1.3920732568734795,8.050352112178844,138,106,76.81159420289855
LPL,Anyone's Legend,Behind,29,7,8.39339087211256,0.2413793103448276,-2.361679444258577,-8.572867714803374,4.282802874225301,138,106,76.81159420289855
LPL,Bilibili Gaming,Ahead,62,53,52.91465152455431,0.8548387096774194,0.09277008200618046,-5.9846751547707,5.882934488123665,140,112,80.0
LPL,Bilibili Gaming,Behind,17,3,6.210179557827569,0.17647058823529413,-6.830169271973548,-13.291321928217483,0.6439067744809346,140,112,80.0
LPL,EDward Gaming,Ahead,24,13,15.552575561337804,0.5416666666666666,-4.726991780255191,-13.337366567634648,4.121985034510205,78,63,80.76923076923077
LPL,EDward Gaming,Behind,26,2,4.137731023535974,0.07692307692307693,-3.817376827742811,-7.816063265627504,1.0410121666785082,78,63,80.76923076923077
LPL,Invictus Gaming,Ahead,34,25,25.653753968648335,0.7352941176470589,-1.0214905760130246,-9.34034581987947,6.397161107813625,116,83,71.55172413793103
LPL,Invictus Gaming,Behind,25,5,5.39374090519208,0.2,-0.7158925548946916,-7.216716808258746,6.226616492646145,116,83,71.55172413793103
LPL,JD Gaming,Ahead,36,29,28.876483079361837,0.8055555555555556,0.18714684945176413,-6.612282229209492,6.32609368190232,139,109,78.41726618705036
LPL,JD Gaming,Behind,31,6,8.603400025598084,0.1935483870967742,-4.267868894423088,-9.793871508964445,1.2306989819516991,139,109,78.41726618705036
LPL,LGD Gaming,Ahead,30,20,20.409165852860017,0.6666666666666666,-0.6819430881000225,-8.873385761384686,6.907739047187106,97,78,80.41237113402062
LPL,LGD Gaming,Behind,36,7,8.095032818112303,0.19444444444444445,-1.6591406335034884,-7.073070107717214,5.172481654943388,97,78,80.41237113402062
LPL,LNG Esports,Ahead,10,6,8.129816060500206,0.6,-5.324540151250516,-9.947141629694368,-0.37589501963402394,53,41,77.35849056603773
LPL,LNG Esports,Behind,14,5,3.9756709456033996,0.35714285714285715,2.328020578174093,-2.7506412145057584,7.923207030388802,53,41,77.35849056603773
LPL,Ninjas in Pyjamas,Ahead,26,20,20.358819692099278,0.7692307692307693,-0.6407494501772808,-7.733514639661196,6.042960076661546,93,71,76.34408602150538
LPL,Ninjas in Pyjamas,Behind,27,10,6.938597847382365,0.37037037037037035,5.370880969504626,-4.273028773744772,15.204990750488651,93,71,76.34408602150538
LPL,Oh My God,Ahead,3,3,2.132096818357063,1.0,2.630009641342233,1.9315284565150708,3.0353398265898335,34,30,88.23529411764706
LPL,Oh My God,Behind,10,0,2.0647822223782435,0.0,-5.1619555559456085,-6.753615709874914,-3.5003997826608355,34,30,88.23529411764706
LPL,Team WE,Ahead,30,22,20.311955224977687,0.7333333333333333,2.81340795837052,-4.912300320537171,9.98748805874974,128,113,88.28125
LPL,Team WE,Behind,59,12,8.955943504424878,0.2033898305084746,3.4202881972754176,-1.754507217485077,8.697341638263316,128,113,88.28125
LPL,ThunderTalk Gaming,Ahead,21,17,15.856885584720503,0.8095238095238095,2.2414008142735242,-5.551170466284381,9.082338514243732,80,64,80.0
LPL,ThunderTalk Gaming,Behind,29,6,6.482305957092476,0.20689655172413793,-0.8174677238855528,-7.349996876018628,5.673320817880364,80,64,80.0
LPL,Top Esports,Ahead,32,27,25.914706072447856,0.84375,1.7504740766970062,-3.523107367625704,6.507335198520191,127,97,76.37795275590551
LPL,Top Esports,Behind,33,12,8.81937802560384,0.36363636363636365,5.048606308565336,-2.6905969385269417,13.65329090201124,127,97,76.37795275590551
LPL,Ultra Prime,Ahead,3,2,2.1451170883564563,0.6666666666666666,-0.4397487525953228,-3.8025502478924706,2.7252408900372873,25,22,88.0
LPL,Ultra Prime,Behind,9,4,2.1963012503326382,0.4444444444444444,4.6248685888906715,-1.0298095509749605,11.294687634823216,25,22,88.0
LPL,Weibo Gaming,Ahead,20,15,14.113837544557045,0.75,1.7723249108859092,-4.962073928304842,8.54488520620288,100,81,81.0
LPL,Weibo Gaming,Behind,30,7,7.949615657120088,0.23333333333333334,-1.582692761866813,-8.214690599828748,5.010708663310378,100,81,81.0
